sn	Item1	Item2	cond	sess	trial	trial_type	title	typeOfScen	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdp	overlap	direct.xVy	overlapRound	correct	avgRT	sdRT	targetPresent	dirOverlap	correct01	res.RT	fit.RT	overlapRoundSN
62	a billionaire	a police officer	terrorist	1	25	1	simplified	impersonal	k	No	7.96137020171951	N/A	-1	0.444012396694215	0.0444662266334452	0.88802479338843	-1	0.9	1	2365.63333333333	1471.46144087733	FALSE	-0.11197520661157	1	0.102881286499406	7.85848891522011	0.9
62	an adult with a deadly contagious disease	a rabid possum	terrorist	1	58	1	simplified	impersonal	k	No	8.35537989525363	N/A	-1	0.776600746268657	0.0339841828106638	0.446798507462687	1	0.5	0	2365.63333333333	1471.46144087733	TRUE	0.553201492537313	0	0.811346180353238	7.5440337149004	0.5
62	a rabid possum	a soldier	terrorist	1	63	1	simplified	impersonal	k	No	7.18083119904456	N/A	-1	0.983396	0.0108454971674335	0.0332080000000001	-1	0.1	1	2365.63333333333	1471.46144087733	FALSE	-0.966792	1	-0.340698955831228	7.52153015487578	0.1
62	a college student	a nun	terrorist	1	15	1	simplified	impersonal	d	Yes	8.43988008831357	N/A	-1	0.606892561983471	0.0434389872864491	0.786214876033058	1	0.8	1	2365.63333333333	1471.46144087733	TRUE	0.213785123966942	1	0.383837498864883	8.05604258944868	0.8
62	an addict	a convict	terrorist	1	101	1	simplified	impersonal	d	Yes	7.25488481007734	N/A	-1	0.403472222222222	0.0428472138999983	0.806944444444444	1	0.9	1	2365.63333333333	1471.46144087733	TRUE	0.193055555555556	1	-0.182211952340199	7.43709676241754	0.9
62	a nun	a pedophile	terrorist	1	56	1	simplified	impersonal	d	Yes	7.57814547241947	N/A	-1	0.949342519685039	0.0189281354243548	0.101314960629921	1	0.2	1	2365.63333333333	1471.46144087733	TRUE	0.898685039370079	1	0.0238984049042799	7.55424706751519	0.2
62	a convict	a nun	terrorist	1	116	1	simplified	impersonal	k	No	7.06817200038804	N/A	-1	0.229685606060606	0.0348702947596602	0.459371212121212	-1	0.5	1	2365.63333333333	1471.46144087733	FALSE	-0.540628787878788	1	-0.357041842859273	7.42521384324731	0.5
62	a cockroach	a terrorist	terrorist	1	19	1	simplified	impersonal	d	Yes	8.2829886927426	N/A	-1	0.461474358974359	0.0414875664298859	0.922948717948718	1	1	1	2365.63333333333	1471.46144087733	TRUE	0.077051282051282	1	0.314683285648746	7.96830540709386	1
62	a rabid possum	a thief	terrorist	1	33	1	simplified	impersonal	k	No	7.86172707782398	N/A	-1	0.605745967741935	0.0398006141324644	0.788508064516129	-1	0.8	1	2365.63333333333	1471.46144087733	FALSE	-0.211491935483871	1	0.116884546112922	7.74484253171106	0.8
62	an assassin	a convict	terrorist	1	95	1	simplified	impersonal	d	Yes	7.52023455647463	N/A	-1	0.632334586466165	0.0396665408615025	0.735330827067669	-1	0.8	0	2365.63333333333	1471.46144087733	FALSE	-0.264669172932331	0	0.0762426627546429	7.44399189371998	0.8
62	an elderly person	a police officer	terrorist	1	86	1	simplified	impersonal	k	No	8.27180403115471	N/A	-1	0.44434126984127	0.0432674742653806	0.88868253968254	1	0.9	0	2365.63333333333	1471.46144087733	TRUE	0.11131746031746	0	0.814186923595846	7.45761710755886	0.9
62	a homeless adult	a thief	terrorist	1	59	1	simplified	impersonal	d	Yes	7.4770384723197	N/A	-1	0.8327578125	0.0308603188685306	0.334484375	1	0.4	1	2365.63333333333	1471.46144087733	TRUE	0.665515625	1	-0.0621608694014855	7.53919934172118	0.4
62	a rabid possum	a rapist	terrorist	1	39	1	simplified	impersonal	d	Yes	8.11910083763749	N/A	-1	0.375400763358779	0.0387862590238971	0.750801526717557	1	0.8	1	2365.63333333333	1471.46144087733	TRUE	0.249198473282443	1	0.440209624416457	7.67889121322103	0.8
62	an astronaut	a terrorist	terrorist	1	35	1	simplified	impersonal	d	Yes	7.24636808010246	N/A	-1	0.0542235772357724	0.0196613004138196	0.108447154471545	1	0.2	1	2365.63333333333	1471.46144087733	TRUE	0.891552845528455	1	-0.474871336706174	7.72123941680864	0.2
62	a cockroach	a mentor	terrorist	1	18	1	simplified	impersonal	k	No	7.97487690055888	N/A	-1	0.986491666666667	0.00949289447961774	0.0270166666666667	-1	0.1	1	2365.63333333333	1471.46144087733	FALSE	-0.972983333333333	1	-0.0141794359657634	7.98905633652464	0.1
62	an adult with a deadly contagious disease	a judge	terrorist	1	73	1	simplified	impersonal	k	No	7.81237820598861	N/A	-1	0.686980769230769	0.0401394924777477	0.626038461538462	-1	0.7	1	2365.63333333333	1471.46144087733	FALSE	-0.373961538461538	1	0.325239324253289	7.48713888173532	0.7
62	a life-saving antidote	a rabid possum	terrorist	1	89	1	simplified	impersonal	d	Yes	7.06902342657826	N/A	-1	0.988318897637795	0.00894756052211203	0.0233622047244093	1	0.1	1	2365.63333333333	1471.46144087733	TRUE	0.976637795275591	1	-0.38354767416852	7.45257110074678	0.1
62	an assassin	a mentor	terrorist	1	4	1	simplified	impersonal	k	No	7.60389796852188	N/A	-1	0.910877952755906	0.023735154595074	0.178244094488189	-1	0.2	1	2365.63333333333	1471.46144087733	FALSE	-0.821755905511811	1	-0.771051368151987	8.37494933667387	0.2
62	an astronaut	a nun	terrorist	1	29	1	simplified	impersonal	d	Yes	7.26192709270275	N/A	-1	0.439846456692913	0.0425269458000953	0.879692913385827	1	0.9	1	2365.63333333333	1471.46144087733	TRUE	0.120307086614173	1	-0.535606822225622	7.79753391492837	0.9
62	a nun	a terrorist	terrorist	1	74	1	simplified	impersonal	d	Yes	7.16472037877186	N/A	-1	0.934438524590164	0.0215616891177854	0.131122950819672	1	0.2	1	2365.63333333333	1471.46144087733	TRUE	0.868877049180328	1	-0.319619014683337	7.48433939345519	0.2
62	a rapist	a terrorist	terrorist	1	65	1	simplified	impersonal	d	Yes	8.07153089355666	N/A	-1	0.46352380952381	0.0383955496686703	0.927047619047619	-1	1	0	2365.63333333333	1471.46144087733	FALSE	-0.072952380952381	0	0.557915654211265	7.5136152393454	1
