sn	ItemX	ItemY	cond	sess	trial	trial_type	title	typeOfScen	x_is_are	x_verb	y_is_are	y_verb	actor	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdp	overlap	direct.xVy	overlapRound	correct	avgRT	sdRT	targetPresent	dirOverlap	correct01	res.RT	fit.RT	overlapRoundSN
10	an orphan	a rapist	Terrorist1	1	11	1	Nuclear Plant	personal	is	kill	is	kill	personally	d	Yes	7.71646080017636	N/A	-1	0.0397698412698413	0.016757758132585	0.0795396825396826	1	0.1	1	4759.15	2941.52318426861	TRUE	0.920460317460317	1	-0.590892808665835	8.30735360884219	0.1
10	a rapist	a smartphone	Terrorist1	1	3	1	Lumberjack	personal	is	kill	is	destroy	personally	k	No	9.7655464514229	N/A	-1	0.171795275590551	0.032979738451044	0.343590551181102	-1	0.4	1	4759.15	2941.52318426861	FALSE	-0.656409448818898	1	0.905768189792497	8.85977826163041	0.4
10	a rabid possum	a judge	Terrorist1	1	7	1	Riverbank	personal	is	kill	is	kill	personally	k	No	8.78828846026362	N/A	-1	0.966270161290323	0.0148841129102173	0.0674596774193548	-1	0.1	1	4759.15	2941.52318426861	FALSE	-0.932540322580645	1	0.322280277655834	8.46600818260779	0.1
10	a rabid possum	a cockroach	Terrorist1	1	24	1	Tsunami	personal	is	kill	is	kill	personally	k	No	8.48899945704546	N/A	-1	0.439381147540984	0.0419709341322325	0.878762295081967	1	0.9	0	4759.15	2941.52318426861	TRUE	0.121237704918033	0	0.28312603472658	8.20587342231888	0.9
10	an adult with a deadly contagious disease	a homeless adult	Terrorist1	1	6	1	Safari	personal	is	kill	is	kill	personally	k	No	8.82025636590632	N/A	-1	0.674557971014493	0.0389791856937781	0.650884057971014	-1	0.7	1	4759.15	2941.52318426861	FALSE	-0.349115942028986	1	0.28644986037977	8.53380650552655	0.7
10	a homeless adult	a mentor	Terrorist1	1	39	1	Space Cargo	personal	is	kill	is	kill	personally	k	No	8.13241267450091	N/A	-1	0.396565384615385	0.0397317680389132	0.793130769230769	-1	0.8	1	4759.15	2941.52318426861	FALSE	-0.206869230769231	1	-0.0680662929821825	8.20047896748309	0.8
10	an orphan	a billionaire	Terrorist1	1	5	1	Missile	personal	is	kill	is	kill	personally	d	Yes	8.33663008763715	N/A	-1	0.380700892857143	0.0445485273162883	0.761401785714286	1	0.8	1	4759.15	2941.52318426861	TRUE	0.238598214285714	1	-0.282273854922066	8.61890394255921	0.8
100	a rabid possum	a terrorist	Terrorist1	1	26	1	Missile	personal	is	kill	is	kill	personally	k	No	8.55159461813357	N/A	-1	0.422790322580645	0.0410965977367719	0.84558064516129	1	0.9	0	3505.575	2442.26487871822	TRUE	0.15441935483871	0	0.500553378996559	8.05104123913701	0.9
100	a thief	a college student	Terrorist1	1	30	1	Marine	personal	is	kill	is	kill	personally	k	No	8.03333401588006	N/A	-1	0.890021186440678	0.0269477602042852	0.219957627118644	-1	0.3	1	3505.575	2442.26487871822	FALSE	-0.780042372881356	1	-0.0177072232569504	8.05104123913701	0.3
100	a rapist	a college student	Terrorist1	1	15	1	Safari	personal	is	kill	is	kill	personally	k	No	7.83715965000168	N/A	-1	0.955165322580645	0.0184868627503233	0.0896693548387097	-1	0.1	1	3505.575	2442.26487871822	FALSE	-0.91033064516129	1	-0.213881589134743	8.05104123913642	0.1
100	a cockroach	a billionaire	Terrorist1	1	37	1	Riverbank	personal	is	kill	is	kill	personally	k	No	7.82644313545601	N/A	-1	0.934636363636364	0.022333748386201	0.130727272727273	-1	0.2	1	3505.575	2442.26487871822	FALSE	-0.869272727272727	1	-0.224598103680998	8.05104123913701	0.2
100	a convict	a police officer	Terrorist1	1	10	1	Tsunami	personal	is	kill	is	kill	personally	k	No	7.90728360942635	N/A	-1	0.188289855072464	0.0327554480996332	0.376579710144928	-1	0.4	1	3505.575	2442.26487871822	FALSE	-0.623420289855072	1	-0.143757618840303	8.05104122826665	0.4
100	a police officer	a smartphone	Terrorist1	1	39	1	Riverbank	personal	is	kill	is	destroy	personally	d	Yes	8.4471998195957	N/A	-1	0.814453846153846	0.0344916287455175	0.371092307692308	1	0.4	1	3505.575	2442.26487871822	TRUE	0.628907692307692	1	0.396158580458691	8.05104123913701	0.4
100	a smartphone	a billionaire	Terrorist1	1	24	1	Missile	personal	is	destroy	is	kill	personally	k	No	7.84893372636407	N/A	-1	0.751703539823009	0.0405160004946282	0.496592920353982	-1	0.5	1	3505.575	2442.26487871822	FALSE	-0.503407079646018	1	-0.202107512772941	8.05104123913701	0.5
100	an adult	an elderly person	Terrorist1	1	11	1	Missile	personal	is	kill	is	kill	personally	d	Yes	8.31115254800169	N/A	-1	0.429715517241379	0.0428694686655005	0.859431034482759	-1	0.9	0	3505.575	2442.26487871822	FALSE	-0.140568965517241	0	0.260111310391126	8.05104123761056	0.9
100	a congressman	an adult	Terrorist1	1	25	1	Nuclear Plant	personal	is	kill	is	kill	personally	k	No	7.70391020961631	N/A	-1	0.346709090909091	0.045252948157222	0.693418181818182	-1	0.7	1	3505.575	2442.26487871822	FALSE	-0.306581818181818	1	-0.347131029520701	8.05104123913701	0.7
100	an adult with a deadly contagious disease	a billionaire	Terrorist1	1	18	1	Lumberjack	personal	is	kill	is	kill	personally	k	No	7.99395754757357	N/A	-1	0.679909836065574	0.0410855482355913	0.640180327868852	-1	0.7	1	3505.575	2442.26487871822	FALSE	-0.359819672131148	1	-0.0570836915634452	8.05104123913701	0.7
100	a smartphone	a homeless adult	Terrorist1	1	1	1	Space ship	personal	is	destroy	is	kill	personally	k	No	7.54644627374602	N/A	-1	0.769472868217054	0.0374794230601193	0.461054263565891	-1	0.5	1	3505.575	2442.26487871822	FALSE	-0.538945736434109	1	0.00744410350808522	7.53900217023794	0.5
100	a homeless adult	an astronaut	Terrorist1	1	29	1	Marine	personal	is	kill	is	kill	personally	k	No	7.71556953452021	N/A	-1	0.445587121212121	0.0403663030652654	0.891174242424242	-1	0.9	1	3505.575	2442.26487871822	FALSE	-0.108825757575758	1	-0.335471704616804	8.05104123913701	0.9
100	a smartphone	a thief	Terrorist1	1	36	1	Lumberjack	personal	is	destroy	is	kill	personally	k	No	7.78655180642871	N/A	-1	0.344004132231405	0.0419167771033713	0.68800826446281	1	0.7	0	3505.575	2442.26487871822	TRUE	0.31199173553719	0	-0.2644894327083	8.05104123913701	0.7
100	an addict	a police officer	Terrorist1	1	16	1	Nuclear Plant	personal	is	kill	is	kill	personally	k	No	7.85360481309784	N/A	-1	0.755444444444444	0.0373379061935243	0.489111111111111	-1	0.5	1	3505.575	2442.26487871822	FALSE	-0.510888888888889	1	-0.197436426039092	8.05104123913693	0.5
100	a rapist	a mentor	Terrorist1	1	28	1	Nuclear Plant	personal	is	kill	is	kill	personally	k	No	8.26975694753298	N/A	-1	0.955375968992248	0.0173995969362512	0.0892480620155038	-1	0.1	1	3505.575	2442.26487871822	FALSE	-0.910751937984496	1	0.218715708395971	8.05104123913701	0.1
100	a rapist	a soldier	Terrorist1	1	6	1	Tsunami	personal	is	kill	is	kill	personally	k	No	9.00871366412422	N/A	-1	0.0383937007874016	0.0166626194104079	0.0767874015748031	-1	0.1	1	3505.575	2442.26487871822	FALSE	-0.923212598425197	1	0.957700382110181	8.05101328201404	0.1
100	a gang member	a mentor	Terrorist1	1	20	1	Malfunctioning Crane	personal	is	kill	is	kill	personally	k	No	7.56268124672188	N/A	-1	0.13197131147541	0.0293087925400361	0.26394262295082	-1	0.3	1	3505.575	2442.26487871822	FALSE	-0.73605737704918	1	-0.488359992415128	8.05104123913701	0.3
100	an orphan	a soldier	Terrorist1	1	4	1	Missile	personal	is	kill	is	kill	personally	d	Yes	9.46459491831544	N/A	-1	0.537395833333333	0.0452566656672262	0.925208333333333	-1	1	0	3505.575	2442.26487871822	FALSE	-0.074791666666667	0	1.41497148490354	8.0496234334119	1
100	a soldier	an elderly person	Terrorist1	1	19	1	Malfunctioning Crane	personal	is	kill	is	kill	personally	d	Yes	8.16166045205628	N/A	-1	0.541203389830509	0.0422258319464129	0.917593220338983	1	1	1	3505.575	2442.26487871822	TRUE	0.0824067796610169	1	0.11061921291927	8.05104123913701	1
100	a convict	a police officer	Terrorist1	1	14	1	Space ship	personal	is	kill	is	kill	personally	k	No	7.81318726752142	N/A	-1	0.188289855072464	0.0327554480996332	0.376579710144928	-1	0.4	1	3505.575	2442.26487871822	FALSE	-0.623420289855072	1	-0.23785397161137	8.05104123913279	0.4
100	a pedophile	a police officer	Terrorist1	1	33	1	Space Cargo	personal	is	kill	is	kill	personally	k	No	7.23273313617761	N/A	-1	0.0471616541353383	0.0175672193791626	0.0943233082706767	-1	0.1	1	3505.575	2442.26487871822	FALSE	-0.905676691729323	1	-0.818308102959397	8.05104123913701	0.1
100	a rabid possum	a smartphone	Terrorist1	1	27	1	Safari	personal	is	kill	is	destroy	personally	k	No	8.12888014212564	N/A	-1	0.177212	0.0332371443382816	0.354424	-1	0.4	1	3505.575	2442.26487871822	FALSE	-0.645576	1	0.0778389029886259	8.05104123913701	0.4
100	a terrorist	a nun	Terrorist1	1	34	1	Space Cargo	personal	is	kill	is	kill	personally	k	No	7.87511928104029	N/A	-1	0.934438524590164	0.0215616891177854	0.131122950819672	-1	0.2	1	3505.575	2442.26487871822	FALSE	-0.868877049180328	1	-0.175921958096719	8.05104123913701	0.2
100	a soldier	a rabid possum	Terrorist1	1	23	1	Marine	personal	is	kill	is	kill	personally	k	No	7.53262361878879	N/A	-1	0.983396	0.0108454971674335	0.0332080000000001	1	0.1	0	3505.575	2442.26487871822	TRUE	0.966792	0	-0.518417620348224	8.05104123913701	0.1
100	a smartphone	a cockroach	Terrorist1	1	32	1	Riverbank	personal	is	destroy	is	kill	personally	d	Yes	7.89506349809157	N/A	-1	0.143127118644068	0.0314101871618447	0.286254237288136	1	0.3	1	3505.575	2442.26487871822	TRUE	0.713745762711864	1	-0.155977741045439	8.05104123913701	0.3
100	a nun	a billionaire	Terrorist1	1	35	1	Safari	personal	is	kill	is	kill	personally	d	Yes	7.7510451179718	N/A	-1	0.527078260869565	0.0467951849622314	0.94584347826087	-1	1	0	3505.575	2442.26487871822	FALSE	-0.05415652173913	0	-0.29999612116521	8.05104123913701	1
100	an elderly person	an orphan	Terrorist1	1	38	1	Nuclear Plant	personal	is	kill	is	kill	personally	k	No	7.77401507725073	N/A	-1	0.493448717948718	0.0449143815757816	0.986897435897436	-1	1	1	3505.575	2442.26487871822	FALSE	-0.0131025641025641	1	-0.277026161886285	8.05104123913701	1
100	a smartphone	a cockroach	Terrorist1	1	21	1	Space ship	personal	is	destroy	is	kill	personally	d	Yes	8.3020178097512	N/A	-1	0.143127118644068	0.0314101871618447	0.286254237288136	1	0.3	1	3505.575	2442.26487871822	TRUE	0.713745762711864	1	0.250976570614192	8.05104123913701	0.3
100	an adult	a thief	Terrorist1	1	5	1	Lumberjack	personal	is	kill	is	kill	personally	k	No	9.44335504308566	N/A	-1	0.124743697478992	0.0286444801881048	0.249487394957983	1	0.3	0	3505.575	2442.26487871822	TRUE	0.750512605042017	0	1.39251289631165	8.05084214677401	0.3
100	a pedophile	an astronaut	Terrorist1	1	13	1	Riverbank	personal	is	kill	is	kill	personally	k	No	8.02845516411425	N/A	-1	0.04521484375	0.0182970665233839	0.0904296875	-1	0.1	1	3505.575	2442.26487871822	FALSE	-0.9095703125	1	-0.0225860749926614	8.05104123910691	0.1
100	a life-saving antidote	a rapist	Terrorist1	1	17	1	Tsunami	personal	is	destroy	is	kill	personally	d	Yes	8.34474275441755	N/A	-1	0.0341589147286822	0.0151615959229568	0.0683178294573643	1	0.1	1	3505.575	2442.26487871822	TRUE	0.931682170542636	1	0.293701515280546	8.051041239137	0.1
100	an addict	a soldier	Terrorist1	1	40	1	Tsunami	personal	is	kill	is	kill	personally	k	No	7.49720722320332	N/A	-1	0.823618644067797	0.033596374904528	0.352762711864407	-1	0.4	1	3505.575	2442.26487871822	FALSE	-0.647237288135593	1	-0.553834015933695	8.05104123913701	0.4
100	a pedophile	a judge	Terrorist1	1	31	1	Space Cargo	personal	is	kill	is	kill	personally	k	No	7.97522083865341	N/A	-1	0.953278225806452	0.018052845576451	0.0934435483870968	-1	0.1	1	3505.575	2442.26487871822	FALSE	-0.906556451612903	1	-0.0758204004836021	8.05104123913701	0.1
100	a convict	a mentor	Terrorist1	1	3	1	Lumberjack	personal	is	kill	is	kill	personally	k	No	7.92804560087478	N/A	-1	0.173435114503817	0.0321503104929718	0.346870229007634	-1	0.4	1	3505.575	2442.26487871822	FALSE	-0.653129770992366	1	-0.112898952262562	8.04094455313734	0.4
100	a rapist	a soldier	Terrorist1	1	2	1	Marine	personal	is	kill	is	kill	personally	k	No	7.9098566672694	N/A	-1	0.0383937007874016	0.0166626194104079	0.0767874015748031	-1	0.1	1	3505.575	2442.26487871822	FALSE	-0.923212598425197	1	-0.0692825712122778	7.97913923848168	0.1
100	a rapist	a convict	Terrorist1	1	7	1	Safari	personal	is	kill	is	kill	personally	k	No	7.97968130238774	N/A	-1	0.746914814814815	0.0346036548261975	0.50617037037037	-1	0.6	1	3505.575	2442.26487871822	FALSE	-0.49382962962963	1	-0.0713560109295504	8.05103731331729	0.6
101	a college student	a cockroach	Terrorist1	1	22	1	Missile	personal	is	kill	is	kill	personally	k	Yes	7.41517510961329	N/A	-1	0.986030434782609	0.00949818747349872	0.0279391304347827	1	0.1	1	2566.51282051282	930.441374374065	TRUE	0.972060869565217	1	-0.374685677745909	7.7898607873592	0.1
