sn	Item1	Item2	cond	sess	trial	trial_type	title	typeOfScen	keybResp	keyDef	keybRT	rtBeep	rtDeadline	averageP	sdp	overlap	direct.xVy	overlapRound	correct	avgRT	sdRT	targetPresent	dirOverlap	correct01	res.RT	fit.RT	overlapRoundSN
81	5 staplers	3 pencils	quantObject	1	91	1	simplified	impersonal	k	Yes	7.83002808253384	N/A	-1	0.410285087719298	0.0456119527875599	0.820570175438596	1	0.9	1	3540.39166666667	2287.6844639619	TRUE	0.179429824561404	1	-0.127599072305722	7.95762715483956	0.9
81	5 pieces of jewelry	a piece of jewelry	quantObject	1	64	1	simplified	impersonal	k	Yes	7.49443021503157	N/A	-1	0.467314960629921	0.043501868138872	0.934629921259843	1	1	1	3540.39166666667	2287.6844639619	TRUE	0.065370078740157	1	-0.532738797861574	8.02716901289314	1
81	53 paper plates	48 mailboxes	quantObject	1	38	1	simplified	impersonal	d	No	8.49923286603924	N/A	-1	0.60514	0.0423868026753734	0.78972	-1	0.8	1	3540.39166666667	2287.6844639619	FALSE	-0.21028	1	0.405097619464883	8.09413524657436	0.8
81	a water bottle	5 staplers	quantObject	1	2	1	simplified	impersonal	d	No	8.9201217518724	N/A	-1	0.643319672131147	0.042880011510454	0.713360655737705	1	0.8	0	3540.39166666667	2287.6844639619	TRUE	0.286639344262295	0	0.733264027893274	8.18685772397913	0.8
81	a mailbox	53 paper plates	quantObject	1	22	1	simplified	impersonal	k	Yes	8.35772841676521	N/A	-1	0.590138392857143	0.0435627687207007	0.819723214285714	1	0.9	1	3540.39166666667	2287.6844639619	TRUE	0.180276785714286	1	0.222383180233173	8.13534523653204	0.9
81	a teddy bear	a kayak	quantObject	1	23	1	simplified	impersonal	d	No	7.87092959675514	N/A	-1	0.603808943089431	0.0437066987745328	0.792382113821138	-1	0.8	1	3540.39166666667	2287.6844639619	FALSE	-0.207617886178862	1	-0.26184001540454	8.13276961215968	0.8
81	3 teddy bears	a water bottle	quantObject	1	97	1	simplified	impersonal	k	Yes	9.05134464048573	N/A	-1	0.484049242424242	0.0438639925107188	0.968098484848485	1	1	1	3540.39166666667	2287.6844639619	TRUE	0.031901515151515	1	1.10917123188029	7.94217340860543	1
81	a kayak	47 pencils	quantObject	1	11	1	simplified	impersonal	k	Yes	8.22577079934873	N/A	-1	0.722367424242424	0.038956956588855	0.555265151515151	1	0.6	1	3540.39166666667	2287.6844639619	TRUE	0.444734848484849	1	0.0620936947207955	8.16367710462794	0.6
81	3 water bottles	50 ounces of gold	quantObject	1	102	1	simplified	impersonal	d	No	8.73600738456922	N/A	-1	0.157564655172414	0.033490948369156	0.315129310344828	-1	0.4	1	3540.39166666667	2287.6844639619	FALSE	-0.684870689655172	1	0.806712097825558	7.92929528674366	0.4
82	47 wedding rings	3 teddy bears	quantObject	1	21	1	simplified	impersonal	d	Yes	7.43838353004431	N/A	-1	0.145984615384615	0.0296661796055694	0.291969230769231	1	0.3	1	2549.16666666667	1950.92843372108	TRUE	0.708030769230769	1	-0.490117269996335	7.92850080004064	0.3
82	6 videogames	47 pencils	quantObject	1	101	1	simplified	impersonal	d	Yes	7.46164039220858	N/A	-1	0.528631782945736	0.0444529484512618	0.942736434108527	1	1	1	2549.16666666667	1950.92843372108	TRUE	0.057263565891473	1	-0.0144959627095549	7.47613635491813	1
82	53 vending machines	48 mailboxes	quantObject	1	16	1	simplified	impersonal	d	Yes	7.99463231143183	N/A	-1	0.408403100775194	0.0428459880359338	0.816806201550388	1	0.9	1	2549.16666666667	1950.92843372108	TRUE	0.183193798449612	1	-0.0467952787229162	8.04142759015474	0.9
82	9 paper plates	6 dollar bills	quantObject	1	108	1	simplified	impersonal	k	No	7.85205020726589	N/A	-1	0.593638059701493	0.0418096184948803	0.812723880597015	-1	0.9	1	2549.16666666667	1950.92843372108	FALSE	-0.187276119402985	1	0.379731987521173	7.47231821974472	0.9
82	3 water bottles	49 rocks	quantObject	1	15	1	simplified	impersonal	d	Yes	7.84776253747361	N/A	-1	0.60506746031746	0.0404211476480973	0.789865079365079	1	0.8	1	2549.16666666667	1950.92843372108	TRUE	0.210134920634921	1	-0.219336498708802	8.06709903618241	0.8
82	9 smartphones	a stapler	quantObject	1	40	1	simplified	impersonal	d	Yes	8.23164217997341	N/A	-1	0.196692592592593	0.0329718680862973	0.393385185185185	1	0.4	1	2549.16666666667	1950.92843372108	TRUE	0.606614814814815	1	0.565061930610132	7.66658024936328	0.4
82	a penny	3 wallets	quantObject	1	64	1	simplified	impersonal	k	No	6.96790920180188	N/A	-1	0.107105042016807	0.0279151199219595	0.214210084033613	-1	0.3	1	2549.16666666667	1950.92843372108	FALSE	-0.785789915966387	1	-0.566129850018068	7.53403905181995	0.3
82	a dollar bill	53 paper plates	quantObject	1	76	1	simplified	impersonal	k	No	8.63976474380442	N/A	-1	0.429760504201681	0.0449083107648564	0.859521008403361	-1	0.9	1	2549.16666666667	1950.92843372108	FALSE	-0.140478991596639	1	1.13511483278204	7.50464991102238	0.9
82	52 toothbrushes	6 videogames	quantObject	1	103	1	simplified	impersonal	k	No	7.4301141385618	N/A	-1	0.430688461538462	0.0431679206325554	0.861376923076923	1	0.9	0	2549.16666666667	1950.92843372108	TRUE	0.138623076923077	0	-0.0448108147032151	7.47492495326502	0.9
82	a passport	3 pencils	quantObject	1	38	1	simplified	impersonal	d	Yes	7.46221493976819	N/A	-1	0.893383620689655	0.0277963311266752	0.21323275862069	1	0.3	1	2549.16666666667	1950.92843372108	TRUE	0.78676724137931	1	-0.222921335282493	7.68513627505068	0.3
82	4 mailboxes	6 ounces of gold	quantObject	1	96	1	simplified	impersonal	k	No	7.11395610956603	N/A	-1	0.1115234375	0.0267480845650486	0.223046875	-1	0.3	1	2549.16666666667	1950.92843372108	FALSE	-0.776953125	1	-0.365710330413219	7.47966643997925	0.3
82	48 pairs of shoes	a stapler	quantObject	1	113	1	simplified	impersonal	d	Yes	7.41758040241454	N/A	-1	0.201425619834711	0.0354302375037086	0.402851239669421	1	0.5	1	2549.16666666667	1950.92843372108	TRUE	0.597148760330579	1	-0.052638716026844	7.47021911844139	0.5
82	9 pennies	a wallet	quantObject	1	4	1	simplified	impersonal	k	No	8.10681603894705	N/A	-1	0.817262295081967	0.0337920312297812	0.365475409836066	-1	0.4	1	2549.16666666667	1950.92843372108	FALSE	-0.634524590163934	1	-0.329928786646597	8.43674482559365	0.4
82	48 mailboxes	8 motorcycles	quantObject	1	68	1	simplified	impersonal	k	No	7.68982866873648	N/A	-1	0.769243902439024	0.0380281801728084	0.461512195121951	-1	0.5	1	2549.16666666667	1950.92843372108	FALSE	-0.538487804878049	1	0.167323639750196	7.52250502898629	0.5
82	49 staplers	a wallet	quantObject	1	79	1	simplified	impersonal	d	Yes	7.84463264446468	N/A	-1	0.703858267716535	0.0405250954921368	0.592283464566929	-1	0.6	0	2549.16666666667	1950.92843372108	FALSE	-0.407716535433071	0	0.345236357954605	7.49939628651008	0.6
82	47 teddy bears	9 pennies	quantObject	1	33	1	simplified	impersonal	d	Yes	7.65396918047877	N/A	-1	0.210735537190083	0.0360699518715181	0.421471074380165	1	0.5	1	2549.16666666667	1950.92843372108	TRUE	0.578528925619835	1	-0.0852402823577467	7.73920946283652	0.5
82	8 motorcycles	49 staplers	quantObject	1	98	1	simplified	impersonal	d	Yes	7.6889133368648	N/A	-1	0.807655737704918	0.0352767367657115	0.384688524590164	1	0.4	1	2549.16666666667	1950.92843372108	TRUE	0.615311475409836	1	0.210751255579766	7.47816208128503	0.4
82	an ounce of gold	49 rocks	quantObject	1	47	1	simplified	impersonal	d	Yes	7.60240133566582	N/A	-1	0.8569140625	0.0307074227910258	0.286171875	1	0.3	1	2549.16666666667	1950.92843372108	TRUE	0.713828125	1	-0.0105470600634945	7.61294839572931	0.3
82	a passport	47 wedding rings	quantObject	1	106	1	simplified	impersonal	k	No	7.11882624906208	N/A	-1	0.335942148760331	0.0425256816031384	0.671884297520661	-1	0.7	1	2549.16666666667	1950.92843372108	FALSE	-0.328115702479339	1	-0.354467465403945	7.47329371446602	0.7
82	6 videogames	8 motorcycles	quantObject	1	84	1	simplified	impersonal	k	No	7.25559127425367	N/A	-1	0.782967213114754	0.0369369608529277	0.434065573770492	-1	0.5	1	2549.16666666667	1950.92843372108	FALSE	-0.565934426229508	1	-0.236432760108797	7.49202403436246	0.5
82	50 videogames	4 mailboxes	quantObject	1	87	1	simplified	impersonal	d	Yes	7.99867136101578	N/A	-1	0.410658536585366	0.0429644654443474	0.821317073170732	1	0.9	1	2549.16666666667	1950.92843372108	TRUE	0.178682926829268	1	0.510362318357314	7.48830904265846	0.9
82	3 water bottles	3 umbrellas	quantObject	1	44	1	simplified	impersonal	d	Yes	7.78322401633604	N/A	-1	0.48951724137931	0.0448175319227647	0.979034482758621	-1	1	0	2549.16666666667	1950.92843372108	FALSE	-0.020965517241379	0	0.149263796578372	7.63396021975767	1
82	a kayak	a dollar bill	quantObject	1	105	1	simplified	impersonal	d	Yes	7.39264752072162	N/A	-1	0.198822834645669	0.0343762428380466	0.397645669291339	1	0.4	1	2549.16666666667	1950.92843372108	TRUE	0.602354330708661	1	-0.0811665634943788	7.473814084216	0.4
82	6 dollar bills	53 vending machines	quantObject	1	92	1	simplified	impersonal	k	No	7.25770767716004	N/A	-1	0.339014925373134	0.0398952986152963	0.678029850746269	-1	0.7	1	2549.16666666667	1950.92843372108	FALSE	-0.321970149253731	1	-0.225388230166033	7.48309590732608	0.7
82	9 vending machines	4 pairs of shoes	quantObject	1	37	1	simplified	impersonal	d	Yes	8.28121766128665	N/A	-1	0.578009345794392	0.0471430587851291	0.843981308411215	-1	0.9	0	2549.16666666667	1950.92843372108	FALSE	-0.156018691588785	0	0.586182824781321	7.69503483650533	0.9
82	a stapler	3 wallets	quantObject	1	24	1	simplified	impersonal	k	No	7.54538974961182	N/A	-1	0.275177966101695	0.0404952574818159	0.55035593220339	-1	0.6	1	2549.16666666667	1950.92843372108	FALSE	-0.44964406779661	1	-0.326205497005901	7.87159524661772	0.6
82	53 vending machines	5 pieces of jewelry	quantObject	1	61	1	simplified	impersonal	d	Yes	7.93415523353632	N/A	-1	0.595607692307692	0.0411341103317461	0.808784615384615	-1	0.9	0	2549.16666666667	1950.92843372108	FALSE	-0.191215384615385	0	0.390055005752188	7.54410022778413	0.9
82	a smartphone	a wedding ring	quantObject	1	82	1	simplified	impersonal	k	No	7.02731451403978	N/A	-1	0.300233050847458	0.0407318629920271	0.600466101694915	-1	0.7	1	2549.16666666667	1950.92843372108	FALSE	-0.399533898305085	1	-0.46746837273247	7.49478288677225	0.7
82	4 mailboxes	3 water bottles	quantObject	1	115	1	simplified	impersonal	k	No	7.12125245324454	N/A	-1	0.46694262295082	0.0447346507141392	0.933885245901639	-1	1	1	2549.16666666667	1950.92843372108	FALSE	-0.066114754098361	1	-0.348246327090293	7.46949878033483	1
82	8 toothbrushes	4 pairs of shoes	quantObject	1	29	1	simplified	impersonal	k	No	7.77022320415879	N/A	-1	0.657045871559633	0.0440812682150335	0.685908256880734	-1	0.7	1	2549.16666666667	1950.92843372108	FALSE	-0.314091743119266	1	-0.0215182029904497	7.79174140714924	0.7
